,counts,id
人均,255,607
到位,255,608
相当,255,609
聚会,254,610
美食,253,611
微辣,253,612
小店,252,613
为,251,614
不行,251,615
️,251,616
7,251,617
撑,250,618
煲,250,619
油腻,248,620
地道,248,621
重,248,622
好找,247,623
想象,247,624
小哥,247,625
午餐,246,626
鳗鱼,245,627
健康,245,628
评价,245,629
菜量,244,630
略,244,631
汤底,244,632
上次,243,633
挺不错,243,634
薯条,242,635
肥牛,242,636
原味,242,637
30,242,638
店铺,242,639
每个,241,640
几乎,241,641
有个,241,642
周到,241,643
牛,241,644
鸭,240,645
不如,240,646
鲜,240,647
清爽,239,648
消费,239,649
顾客,238,650
为了,238,651
无功,237,652
午市,237,653
牛油果,237,654
拍照,237,655
预约,236,656
主动,236,657
容易,236,658
很香,235,659
贴心,235,660
毕竟,234,661
貌似,234,662
原来,234,663
隔壁,233,664
四个,233,665
介绍,233,666
店内,233,667
滑,233,668
根本,233,669
胃口,232,670
不想,232,671
20,232,672
生日,232,673
酸奶,230,674
蛋,230,675
早,230,676
约,230,677
首先,229,678
加上,228,679
连,228,680
看看,227,681
或者,227,682
近,227,683
接受,227,684
不同,226,685
满,226,686
无过,226,687
二楼,226,688
整个,224,689
人不多,224,690
鸡蛋,224,691
阿姨,224,692
由于,224,693
/,223,694
甜点,223,695
肯定,223,696
粉丝,222,697
一点点,222,698
_,221,699
冷,220,700
钱,220,701
关键,219,702
去过,219,703
分,219,704
12,219,705
虾饺,218,706
忘记,217,707
次,217,708
港式,216,709
闺蜜,216,710
好看,216,711
个头,216,712
麻辣,215,713
必须,214,714
份量,214,715
脆,213,716
道,212,717
先,212,718
很鲜,212,719
酱汁,211,720
掉,211,721
=,210,722
硬,210,723
很足,210,724
与,210,725
对面,210,726
回家,210,727
写,209,728
孩子,209,729
叉烧,209,730
听,209,731
酸菜鱼,209,732
老板娘,208,733
安静,207,734
酱油,206,735
人多,206,736
人点,206,737
代金券,206,738
记得,205,739
刚刚,205,740
下班,204,741
芥末,204,742
爽口,204,743
找到,204,744
服务生,204,745
平时,204,746
汤汁,203,747
羊肉串,203,748
手,202,749
啤酒,202,750
菜式,202,751
适中,201,752
草莓,201,753
泡,201,754
片,201,755
米线,201,756
最好,201,757
感谢,200,758
离,200,759
越来越,200,760
好久,200,761
有人,200,762
据说,200,763
价钱,199,764
搞,198,765
要求,198,766
品尝,198,767
鱿鱼,198,768
粉,198,769
儿子,197,770
这点,197,771
一种,196,772
鲜嫩,196,773
较,196,774
蒸,195,775
惊喜,195,776
蚝,195,777
羊排,194,778
一楼,194,779
菜色,193,780
鱼头,193,781
点单,193,782
看上去,193,783
跑,192,784
拍,191,785
听说,191,786
不腻,191,787
质量,190,788
多少,190,789
两次,189,790
卖,189,791
浓,189,792
坐在,189,793
午饭,188,794
米,188,795
帮忙,187,796
咬,187,797
还点,187,798
可口,187,799
饿,186,800
布丁,186,801
滴,186,802
小吃,186,803
哟,186,804
单点,185,805
黄,185,806
只要,185,807
日本,185,808
清新,185,809
不吃,184,810
呵呵,184,811
日式,184,812
Q,183,813
大虾,183,814
进门,183,815
包房,183,816
一层,183,817
一道,182,818
不怎么,182,819
差评,182,820
再来,181,821
不辣,181,822
卫生,181,823
烤鸭,181,824
淡,181,825
软,181,826
吃不完,180,827
15,180,828
杯,179,829
一半,178,830
创意,178,831
火锅店,178,832
厨师,178,833
提醒,177,834
鱼肉,177,835
完美,177,836
准备,176,837
甜甜的,176,838
偏,176,839
当,176,840
结账,175,841
厚,175,842
醉,175,843
串串,174,844
牛奶,174,845
牛腩,174,846
妈妈,174,847
其它,173,848
日,172,849
总的来说,172,850
电影,171,851
猪,171,852
碗,171,853
椒盐,170,854
菠萝,170,855
扇贝,170,856
尝,170,857
楼下,170,858
饭点,170,859
生菜,170,860
家里,169,861
十三,169,862
脆脆,169,863
糖,169,864
一桌,168,865
柠檬,168,866
家门口,168,867
金枪鱼,168,868
9,168,869
十分,168,870
重要,167,871
吃饱,167,872
关系,166,873
每,165,874
长,165,875
突然,164,876
小食,164,877
鱼片,164,878
优雅,164,879
吵,164,880
放在,164,881
⋯,163,882
催,163,883
预定,163,884
属于,163,885
期待,162,886
冬阴功,162,887
一只,162,888
所有,162,889
商家,161,890
超赞,161,891
吸引,161,892
微信,161,893
蟹粉,161,894
内,160,895
特地,160,896
打折,160,897
特意,160,898
果汁,160,899
偏甜,159,900
50,159,901
不贵,159,902
上去,159,903
、,159,904
进来,158,905
那里,158,906
一会,158,907
我点,158,908
晚,158,909
石锅,157,910
开业,157,911
看起来,157,912
料理,156,913
改进,156,914
商场,156,915
拌面,156,916
小聚,156,917
原因,155,918
辣味,155,919
聊天,155,920
坐下,155,921
明显,155,922
薄,155,923
回来,155,924
油条,155,925
酒店,155,926
价位,155,927
告知,154,928
冲着,154,929
总,153,930
餐具,153,931
端上来,153,932
南瓜,153,933
就餐,153,934
11,152,935
熟,152,936
不高,152,937
分店,151,938
以,151,939
沙包,151,940
玩,151,941
鸡汤,151,942
类似,151,943
经典,151,944
辣椒,151,945
边,151,946
新店,150,947
边上,150,948
蒜,150,949
基本上,150,950
烫,150,951
考虑,150,952
请,150,953
很浓,150,954
菌菇,150,955
路上,149,956
女儿,149,957
心情,149,958
流,149,959
干锅,148,960
一大,148,961
不了,148,962
小小的,148,963
逛,148,964
调味,147,965
相对,147,966
本身,147,967
难,147,968
偶尔,146,969
这是,146,970
黄鱼,146,971
泡菜,145,972
串,145,973
的确,145,974
不得不,145,975
弹性,145,976
吃不下,144,977
豆浆,144,978
亲切,144,979
芙,143,980
茶餐厅,143,981
中间,143,982
地铁,143,983
不然,143,984
之类,143,985
很饱,143,986
全部,142,987
果断,142,988
骨头,142,989
口,142,990
享受,142,991
有点咸,142,992
吃火锅,142,993
无,141,994
毛肚,141,995
天,141,996
晚饭,141,997
决定,141,998
用心,141,999
天气,141,1000
两份,141,1001
开胃,140,1002
太少,140,1003
最爱,140,1004
传统,140,1005
类,140,1006
解决,140,1007
五花肉,140,1008
浪费,139,1009
看见,139,1010
昨天,139,1011
不足,139,1012
晚餐,138,1013
地理位置,138,1014
桌,138,1015
家人,138,1016
糕,138,1017
弹,138,1018
牛肉丸,138,1019
就要,137,1020
蘑菇,137,1021
忘,137,1022
糯米,137,1023
醋,137,1024
告诉,137,1025
开张,137,1026
照片,137,1027
麻辣烫,136,1028
汁水,136,1029
交通,136,1030
吃个,136,1031
意面,136,1032
新品,136,1033
斤,135,1034
一股,135,1035
土豆泥,135,1036
海胆,134,1037
萝卜,134,1038
团,134,1039
合算,134,1040
过瘾,134,1041
十足,134,1042
哎,134,1043
金针菇,134,1044
女生,134,1045
炖,134,1046
一张,133,1047
黑,133,1048
厨房,133,1049
腿,133,1050
多点,133,1051
满满的,133,1052
意外,133,1053
星,132,1054
还来,132,1055
依旧,132,1056
猪肉,132,1057
杯子,132,1058
楼上,132,1059
肚子,132,1060
香草,131,1061
雪花,131,1062
花,131,1063
铁,130,1064
冻,130,1065
就算,130,1066
吧,130,1067
不大,130,1068
太甜,130,1069
捞,130,1070
盘子,130,1071
简单,130,1072
方面,130,1073
话,130,1074
摆盘,130,1075
及时,129,1076
一共,129,1077
酸菜,129,1078
泰式,129,1079
五星,129,1080
电话,129,1081
章鱼,129,1082
涮,129,1083
影响,128,1084
相比,128,1085
说实话,128,1086
很甜,128,1087
字,127,1088
好次,127,1089
咯,127,1090
客气,127,1091
沾,127,1092
之一,127,1093
*,127,1094
烤鸡,127,1095
正,127,1096
小笼,126,1097
一顿,126,1098
那天,126,1099
咋,126,1100
有待,126,1101
红豆,126,1102
双拼,125,1103
泡饭,125,1104
老妈,125,1105
红,125,1106
本,125,1107
刚好,125,1108
台湾,125,1109
],125,1110
墨鱼,125,1111
这些,125,1112
位,125,1113
每天,124,1114
没吃过,124,1115
站,124,1116
[,124,1117
提供,124,1118
意,124,1119
焦糖,124,1120
强烈推荐,124,1121
即,123,1122
哈,123,1123
一盘,123,1124
再次,122,1125
偏咸,122,1126
人少,122,1127
是因为,122,1128
茄子,122,1129
人家,122,1130
位于,122,1131
红烧肉,121,1132
量足,121,1133
大爱,121,1134
当时,121,1135
正常,121,1136
铁板,121,1137
水准,121,1138
配料,121,1139
点餐,121,1140
靠窗,121,1141
化,121,1142
两人,121,1143
香肠,121,1144
酸酸甜甜,120,1145
食堂,120,1146
一位,120,1147
颜色,119,1148
鳕鱼,119,1149
玉米,119,1150
餐,119,1151
人员,119,1152
风味,119,1153
人太多,119,1154
谢谢,119,1155
挑,119,1156
满满,118,1157
点赞,118,1158
两种,118,1159
粒,118,1160
错过,117,1161
乳鸽,117,1162
淡淡的,117,1163
凤爪,117,1164
丸子,117,1165
图片,117,1166
鸡排,116,1167
谁,116,1168
半小时,116,1169
下单,116,1170
椒,115,1171
酒,115,1172
半天,115,1173
亲民,115,1174
奇怪,115,1175
手机,115,1176
來,115,1177
来到,115,1178
越,115,1179
花生,114,1180
卖相,114,1181
不太好,114,1182
服务周到,114,1183
难得,114,1184
经理,114,1185
颜值,114,1186
舒适,114,1187
主打,114,1188
鸡爪,114,1189
耐心,114,1190
蟹肉,114,1191
..,114,1192
死,114,1193
符合,114,1194
点多,114,1195
早餐,113,1196
芝麻,113,1197
总是,113,1198
煲仔饭,113,1199
一边,113,1200
爽,113,1201
肉类,113,1202
感,113,1203
半个,113,1204
嗲,113,1205
怕,113,1206
食欲,113,1207
第一,113,1208
部分,113,1209
整洁,113,1210
自助餐,112,1211
很脆,112,1212
经济,112,1213
蒜蓉,112,1214
外,112,1215
噢,112,1216
三,112,1217
评论,112,1218
区,112,1219
不像,112,1220
吃掉,112,1221
酸辣,112,1222
头,112,1223
离家,111,1224
提高,111,1225
加点,111,1226
有点像,111,1227
全是,111,1228
或,111,1229
一级,111,1230
吃货,111,1231
素菜,111,1232
漂亮,110,1233
蛋黄,110,1234
夜宵,110,1235
月,110,1236
上桌,110,1237
重新,110,1238
本人,110,1239
切,110,1240
餐前,110,1241
半,110,1242
意大利,110,1243
别家,109,1244
前面,109,1245
太多,109,1246
香港,109,1247
合适,109,1248
一条,109,1249
量少,109,1250
冷面,109,1251
40,109,1252
一看,109,1253
冷菜,108,1254
厚实,108,1255
培根,108,1256
块钱,108,1257
使用,108,1258
月光,108,1259
布置,108,1260
电梯,108,1261
才能,108,1262
明明,108,1263
堂,108,1264
别人,108,1265
桌上,108,1266
嗯,107,1267
OK,107,1268
香蕉,107,1269
它家,107,1270
远,107,1271
新疆,107,1272
美,107,1273
虾肉,107,1274
川菜,107,1275
18,107,1276
—,107,1277
月饼,106,1278
一圈,106,1279
地段,106,1280
遗憾,106,1281
两,106,1282
猪肚,106,1283
鲜肉,106,1284
黄瓜,106,1285
宽敞,106,1286
很久没,106,1287
上班,105,1288
氛围,105,1289
等等,105,1290
哈哈哈哈,105,1291
赞赞,105,1292
另,105,1293
面粉,105,1294
温馨,105,1295
美女,105,1296
汤头,104,1297
造型,104,1298
单,104,1299
冰镇,104,1300
赠送,104,1301
那边,104,1302
酥脆,104,1303
一人,104,1304
龙之梦,104,1305
鲍鱼,104,1306
营业,104,1307
仔,104,1308
装,104,1309
重点,104,1310
饮品,104,1311
靠,103,1312
为主,103,1313
安排,103,1314
味精,103,1315
太小,103,1316
几天,103,1317
锅贴,103,1318
注意,103,1319
当天,103,1320
爆,103,1321
亮点,102,1322
至少,102,1323
小孩,102,1324
习惯,102,1325
表示,102,1326
nice,102,1327
支付宝,102,1328
（,102,1329
辣辣的,102,1330
回去,102,1331
个人感觉,101,1332
美式,101,1333
全,101,1334
经过,101,1335
浇头,101,1336
发票,101,1337
韩式,101,1338
提拉,101,1339
鲜榨,101,1340
超好,101,1341
没点,101,1342
网上,101,1343
泰国,101,1344
已,101,1345
依然,100,1346
任何,100,1347
王,100,1348
好大,100,1349
进店,100,1350
像是,100,1351
腥味,100,1352
一天,100,1353
办法,100,1354
....,100,1355
米苏,100,1356
专门,100,1357
那样,100,1358
拼,100,1359
在家,99,1360
小姑娘,99,1361
噱头,99,1362
浓浓的,99,1363
老婆,99,1364
有种,99,1365
会员,99,1366
风,99,1367
事情,99,1368
云南,98,1369
客户,98,1370
比起,98,1371
要点,98,1372
低,98,1373
足够,98,1374
海南,98,1375
西瓜,98,1376
弄,98,1377
球,98,1378
不得了,98,1379
牛肉面,98,1380
辣酱,98,1381
员工,98,1382
香菇,97,1383
潮汕,97,1384
菜肴,97,1385
下饭,97,1386
趁热,97,1387
空心菜,97,1388
地下,97,1389
力,97,1390
肠粉,97,1391
点个,97,1392
双人,96,1393
周围,96,1394
坐满,96,1395
丝,96,1396
搜,96,1397
那家,96,1398
小时候,96,1399
想到,95,1400
38,95,1401
以上,95,1402
灯光,95,1403
88,95,1404
马上,95,1405
拿破仑,95,1406
不怎么样,95,1407
周六,95,1408
很漂亮,94,1409
高大,94,1410
保持,94,1411
鲜虾,94,1412
买一送一,94,1413
情况,94,1414
忙,94,1415
三明治,94,1416
重庆,94,1417
制作,94,1418
娃娃,94,1419
馅,94,1420
处理,94,1421
要是,94,1422
猪蹄,94,1423
图,94,1424
骨,93,1425
茶水,93,1426
音乐,93,1427
一句,93,1428
点点,93,1429
好久没,93,1430
偏贵,93,1431
不知,93,1432
猪颈肉,93,1433
其中,93,1434
咸蛋,93,1435
空间,93,1436
进,93,1437
带子,93,1438
想要,93,1439
心,93,1440
愉快,93,1441
很近,92,1442
一盆,92,1443
自然,92,1444
现场,92,1445
筷子,92,1446
很辣,92,1447
玫瑰,92,1448
折扣,92,1449
木有,92,1450
香辣,92,1451
好去处,92,1452
肥,92,1453
同学,92,1454
包装,92,1455
良心,92,1456
五点,92,1457
水平,91,1458
超市,91,1459
各,91,1460
火,91,1461
系列,91,1462
不管,91,1463
招牌菜,90,1464
之,90,1465
抽中,90,1466
也许,90,1467
特价,90,1468
饭团,90,1469
焗,90,1470
道菜,90,1471
丢,90,1472
顺便,90,1473
过生日,90,1474
于,90,1475
龙利鱼,90,1476
香脆,89,1477
一会儿,89,1478
早上,89,1479
一片,89,1480
三种,89,1481
妹子,89,1482
奶,89,1483
赞赞赞,89,1484
城,89,1485
工作,89,1486
打电话,89,1487
油炸,89,1488
表演,89,1489
我家,89,1490
200,89,1491
甜虾,88,1492
半价,88,1493
收,88,1494
➕,88,1495
奶盖,88,1496
以及,88,1497
关门,88,1498
特,88,1499
红糖,88,1500
夹,88,1501
吧台,88,1502
门面,88,1503
地铁站,88,1504
装饰,88,1505
是否,88,1506
哪里,87,1507
老外,87,1508
再点,87,1509
周边,87,1510
羊腿,87,1511
师傅,87,1512
血,87,1513
单位,87,1514
外皮,87,1515
内容,86,1516
丸,86,1517
小份,86,1518
甜味,86,1519
米粉,86,1520
有时候,86,1521
面馆,86,1522
撒,86,1523
挺快,86,1524
奶酪,86,1525
试试看,86,1526
周五,86,1527
一小,86,1528
然而,86,1529
挺大,86,1530
冰块,85,1531
住,85,1532
离家近,85,1533
不錯,85,1534
黄油,85,1535
嘴里,85,1536
下雨天,85,1537
草,85,1538
说话,84,1539
懂,84,1540
成,84,1541
蛤蜊,84,1542
组合,84,1543
手工,84,1544
她们,84,1545
起,84,1546
独特,84,1547
抽到,84,1548
做好,84,1549
酸甜,84,1550
细腻,84,1551
品牌,84,1552
简餐,84,1553
不爱,84,1554
奶昔,84,1555
饱满,83,1556
•,83,1557
洋葱,83,1558
想着,83,1559
做法,83,1560
春卷,83,1561
收银,83,1562
贝,83,1563
会员卡,83,1564
反应,83,1565
ok,83,1566
询问,83,1567
试吃,82,1568
甜度,82,1569
圈,82,1570
28,82,1571
大厅,82,1572
每人,82,1573
来过,82,1574
虾饼,82,1575
入座,82,1576
第二天,82,1577
显得,82,1578
工作餐,82,1579
店长,81,1580
高兴,81,1581
订,81,1582
吊龙,81,1583
火腿,81,1584
嘈杂,81,1585
红烧,81,1586
错,81,1587
定,81,1588
火爆,81,1589
超高,81,1590
两杯,81,1591
豆花,81,1592
皇,81,1593
全程,81,1594
拉,81,1595
紫薯,81,1596
盐,81,1597
推出,81,1598
如此,81,1599
原本,81,1600
首选,80,1601
星巴克,80,1602
爸爸,80,1603
❤,80,1604
pizza,80,1605
表扬,80,1606
区别,80,1607
大块,80,1608
部队,80,1609
千层,79,1610
休息,79,1611
感受,79,1612
汤包,79,1613
款,79,1614
挤,79,1615
差点,79,1616
鲈鱼,79,1617
从来,79,1618
支持,79,1619
包厢,79,1620
68,79,1621
烂,79,1622
大肠,79,1623
鲜味,79,1624
添加,79,1625
价廉物美,79,1626
靠近,79,1627
中国,78,1628
培训,78,1629
再也,78,1630
办,78,1631
雪冰,78,1632
老店,78,1633
慢慢,78,1634
底,78,1635
糍粑,78,1636
幸运,78,1637
拉肚子,78,1638
等待,78,1639
泰国菜,78,1640
酸酸的,78,1641
海盐,78,1642
黑鱼,78,1643
尚可,78,1644
大悦,77,1645
想来,77,1646
太油,77,1647
凉菜,77,1648
炒面,77,1649
凉,77,1650
蛮高,77,1651
设计,77,1652
酥皮,77,1653
火候,77,1654
奶味,77,1655
麻烦,77,1656
逛街,77,1657
酒吧,77,1658
包括,77,1659
走进,77,1660
鸭血,77,1661
主题,76,1662
网红,76,1663
翅,76,1664
条,76,1665
本帮菜,76,1666
卖完,76,1667
咖啡店,76,1668
难道,76,1669
限量,76,1670
热闹,76,1671
每桌,76,1672
勤快,76,1673
且,76,1674
热心,76,1675
有没有,76,1676
北极,76,1677
节奏,76,1678
大堂,76,1679
过程,76,1680
再说,76,1681
期间,76,1682
光临,76,1683
馒头,76,1684
百叶,76,1685
年,76,1686
锅巴,76,1687
我要,75,1688
剩下,75,1689
缘故,75,1690
好友,75,1691
似乎,75,1692
太慢,75,1693
种,75,1694
腌制,75,1695
热菜,75,1696
一试,75,1697
变成,75,1698
忍不住,75,1699
前菜,75,1700
按,75,1701
主菜,75,1702
太久,75,1703
遇到,75,1704
季节,75,1705
恰到好处,75,1706
鸳鸯,75,1707
气氛,74,1708
早饭,74,1709
支付,74,1710
拥挤,74,1711
冒,74,1712
无法,74,1713
同样,74,1714
反而,74,1715
太咸,74,1716
一锅,74,1717
麻,74,1718
满分,74,1719
开门,74,1720
太辣,74,1721
看来,74,1722
五角场,74,1723
理解,74,1724
帅哥,74,1725
多汁,74,1726
菠菜,74,1727
很爽,74,1728
事,74,1729
变,74,1730
棉花,73,1731
の,73,1732
度,73,1733
哪,73,1734
莴笋,73,1735
⊙,73,1736
万达,73,1737
甜腻,73,1738
超大,73,1739
张,73,1740
凉皮,73,1741
烤串,73,1742
沙发,73,1743
同时,73,1744
有意思,73,1745
可乐,73,1746
情调,73,1747
红茶,73,1748
苦,73,1749
减肥,73,1750
等到,73,1751
冰沙,73,1752
更加,72,1753
请客,72,1754
结束,72,1755
厚切,72,1756
抱,72,1757
云吞,72,1758
说明,72,1759
定位,72,1760
👍,72,1761
没人,72,1762
不值,72,1763
花菜,72,1764
